fac_id,eqp_id,eqp_model_cd,eqp_grp_id,vendor_nm,ip_address,fab_name,updt_dt,available,version
R4,ECXDX328,CG6380,G-MCD-R4-04,HITACHI,177.152.109.9,R4A,2025-07-05 21:09:37.156474,On,1
M18,ECDX325,TP4500,G-MDS-M18-19,HITACHI,197.208.223.2,M18A,2025-06-18 21:09:37.156474,On,2
M14,ECXDX194,TP3000,G-MDS-M14-04,HITACHI,197.217.89.155,M14B,2025-06-05 21:09:37.156474,On,3
M17,ACD949,PROVISION_10,G-ACD-M17-20,AMAT,197.148.50.181,M17A,2025-06-30 21:09:37.156474,On,1
M14,ECDX384,CG6320,G-MDS-M14-12,HITACHI,177.95.91.54,M14A,2025-04-14 21:09:37.156474,On,3
R4,HCDX350,TP4500,G-MCD-R4-15,HITACHI,197.70.254.237,R4A,2025-04-18 21:09:37.156474,On,1
R4,ECXDX924,CG6360,G-KCD-R4-13,HITACHI,197.17.55.234,R4C,2025-04-27 21:09:37.156474,On,2
M13,MCD371,VERITYSEM_5,G-MCD-M13-08,AMAT,197.192.150.110,M13D,2025-04-25 21:09:37.156474,On,1
M12,ECXDX256,CG6300,G-ACD-M12-06,HITACHI,197.153.17.99,M12D,2025-05-21 21:09:37.156474,On,2
M18,HCDX649,CG6320,G-KCD-M18-11,HITACHI,177.76.112.41,M18C,2025-05-11 21:09:37.156474,On,3
R5,ECXDX991,TP4500,G-ACD-R5-10,HITACHI,177.40.96.196,R5C,2025-06-18 21:09:37.156474,On,3
M10,PCD471,PROVISION_10,G-KCD-M10-08,AMAT,177.62.225.146,M10C,2025-06-28 21:09:37.157476,On,2
M11,HCDX269,TP4000,G-KCD-M11-17,HITACHI,197.247.55.238,M11B,2025-04-30 21:09:37.157476,On,3
M13,VCD629,VERITYSEM_4,G-MDS-M13-04,AMAT,177.58.17.87,M13C,2025-07-06 21:09:37.157476,On,1
R3,HCDX746,CG6320,G-ECD-R3-08,HITACHI,177.232.9.221,R3B,2025-05-27 21:09:37.157476,On,1
M14,ECXDX840,TP4500,G-PCD-M14-19,HITACHI,197.63.201.122,M14D,2025-05-17 21:09:37.157476,On,1
R4,VCD578,VERITYSEM_5,G-ACD-R4-02,AMAT,177.16.104.187,R4D,2025-05-26 21:09:37.157476,On,1
M13,ECDX243,TP4500,G-MDS-M13-06,HITACHI,197.119.64.224,M13B,2025-06-29 21:09:37.157476,On,3
M11,ECXDX270,CG6320,G-MDS-M11-16,HITACHI,197.55.222.103,M11A,2025-07-01 21:09:37.157476,On,1
M16,VCD813,VERITYSEM_4,G-ACD-M16-18,AMAT,197.40.49.76,M16C,2025-06-11 21:09:37.157476,Off,3
R5,PCD698,PROVISION_10,G-MDS-R5-17,AMAT,177.15.246.131,R5A,2025-06-28 21:09:37.157476,On,1
R3,ECXDX683,TP3500,G-MCD-R3-19,HITACHI,177.159.21.108,R3A,2025-04-15 21:09:37.157476,On,3
M15,ECXDX371,TP3000,G-MDS-M15-05,HITACHI,197.118.81.238,M15C,2025-06-29 21:09:37.157476,On,3
R3,ECXDX618,TP4500,G-KCD-R3-05,HITACHI,197.226.18.226,R3A,2025-06-07 21:09:37.157476,On,1
M17,ECDX779,TP4500,G-ECD-M17-05,HITACHI,197.30.228.28,M17C,2025-04-29 21:09:37.157476,On,2
R3,ACD617,PROVISION_20,G-MDS-R3-09,AMAT,177.24.163.109,R3B,2025-06-03 21:09:37.157476,On,2
M12,HCDX822,TP4000,G-MDS-M12-18,HITACHI,177.29.20.242,M12C,2025-04-11 21:09:37.157476,Off,3
M10,ECXDX142,TP3500,G-KCD-M10-12,HITACHI,177.231.92.54,M10C,2025-04-12 21:09:37.157476,On,1
M15,ECXDX919,CG6360,G-MCD-M15-14,HITACHI,177.46.189.237,M15D,2025-05-27 21:09:37.157476,On,2
R4,PCD491,PROVISION_20,G-ECD-R4-16,AMAT,177.52.210.236,R4B,2025-05-11 21:09:37.157476,On,1
M13,ECDX385,TP3500,G-ECD-M13-09,HITACHI,197.165.131.103,M13A,2025-04-13 21:09:37.157476,Off,3
M15,ECXDX694,CG6380,G-KCD-M15-02,HITACHI,177.153.112.89,M15A,2025-05-29 21:09:37.157476,On,3
M11,ECXDX825,CG6380,G-MDS-M11-01,HITACHI,177.94.111.18,M11D,2025-04-14 21:09:37.157476,Off,3
M15,VCD434,VERITYSEM_4,G-MDS-M15-10,AMAT,177.50.108.171,M15A,2025-05-21 21:09:37.157476,On,1
R3,ACD393,PROVISION_10,G-MCD-R3-14,AMAT,197.120.114.114,R3C,2025-04-13 21:09:37.157476,On,2
R5,HCDX779,CG6380,G-ACD-R5-20,HITACHI,197.24.210.244,R5B,2025-06-08 21:09:37.157476,On,1
M13,ECXDX586,CG6300,G-PCD-M13-03,HITACHI,197.107.227.162,M13B,2025-04-26 21:09:37.157476,On,3
M16,MCD771,PROVISION_20,G-ACD-M16-01,AMAT,177.200.109.57,M16D,2025-06-16 21:09:37.157476,On,3
M18,ECXDX968,TP4500,G-ECD-M18-15,HITACHI,177.206.119.171,M18D,2025-05-02 21:09:37.157476,Off,3
M15,MCD861,VERITYSEM_5,G-MDS-M15-15,AMAT,197.193.64.216,M15D,2025-04-18 21:09:37.157476,On,3
M17,PCD830,VERITYSEM_5,G-KCD-M17-08,AMAT,197.86.82.229,M17B,2025-04-30 21:09:37.157476,On,1
M13,ECXDX524,CG6360,G-MDS-M13-11,HITACHI,197.107.16.53,M13D,2025-05-16 21:09:37.157476,On,3
R5,PCD460,VERITYSEM_5,G-KCD-R5-13,AMAT,197.138.192.189,R5A,2025-04-30 21:09:37.157476,On,1
M17,VCD129,VERITYSEM_5,G-MDS-M17-11,AMAT,197.186.43.216,M17B,2025-05-10 21:09:37.157476,Off,3
M18,PCD758,PROVISION_10,G-MDS-M18-05,AMAT,197.47.13.67,M18A,2025-05-21 21:09:37.157476,On,2
M15,VCD358,VERITYSEM_4,G-ECD-M15-16,AMAT,177.192.139.14,M15C,2025-05-25 21:09:37.157476,On,1
R4,ECXDX959,CG6360,G-ECD-R4-20,HITACHI,177.62.33.122,R4A,2025-04-14 21:09:37.157476,On,1
M17,PCD896,PROVISION_20,G-MCD-M17-10,AMAT,177.149.7.238,M17C,2025-05-30 21:09:37.157476,On,2
M16,ECXDX813,CG6360,G-KCD-M16-20,HITACHI,177.204.252.145,M16B,2025-07-03 21:09:37.157476,On,2
R4,HCDX449,TP4500,G-ECD-R4-14,HITACHI,197.28.111.246,R4C,2025-05-23 21:09:37.157476,On,2
R5,ACD730,PROVISION_20,G-PCD-R5-16,AMAT,197.112.212.188,R5B,2025-04-24 21:09:37.157476,On,1
M11,VCD683,PROVISION_20,G-PCD-M11-13,AMAT,197.8.127.218,M11C,2025-05-28 21:09:37.157476,On,1
M15,ACD669,VERITYSEM_4,G-ECD-M15-17,AMAT,177.22.62.185,M15C,2025-05-17 21:09:37.157476,On,1
R5,PCD195,VERITYSEM_5,G-KCD-R5-08,AMAT,197.178.63.79,R5D,2025-04-15 21:09:37.157476,On,2
M18,ACD819,VERITYSEM_4,G-MDS-M18-09,AMAT,197.65.60.31,M18C,2025-06-14 21:09:37.157476,On,3
M18,HCDX595,CG6360,G-KCD-M18-19,HITACHI,197.252.26.214,M18B,2025-06-14 21:09:37.157476,On,2
M12,ECXDX380,TP4500,G-ECD-M12-02,HITACHI,197.179.242.33,M12C,2025-04-18 21:09:37.157476,On,2
M11,VCD551,VERITYSEM_5,G-KCD-M11-06,AMAT,177.65.241.221,M11A,2025-05-08 21:09:37.157476,On,1
M16,ECXDX252,CG6300,G-PCD-M16-10,HITACHI,177.64.31.143,M16D,2025-05-16 21:09:37.157476,On,3
M13,ACD980,VERITYSEM_5,G-PCD-M13-14,AMAT,197.146.159.16,M13D,2025-04-21 21:09:37.157476,Off,1
