Fab,eqp_id,Tool,Model,LotID,Timestamp,FullName,Class,Recipe,Start_Time,End_Time,MSR,MeasTime,MSR_Check,Align_fail,fail_images,total_images,fail_ratio,idp_name,idw_name
M10A,ECXDX350,ECXDX350,CG6360,DV988662,2025-06-24 09:56:10.675632,GATE/GATE_PROFILE_3D,GATE,GATE_PROFILE_3D,2025-06-24 09:56:10.675632,2025-06-24 10:37:46.675632,20250624_GATE_PROFILE_3D_DV988662,2496,Yes,Pass,7,90,0.0778,/Recipe/GATE/GATE_PROFILE_3D.idp,/Recipe/GATE/GATE_PROFILE_3D.idw
M16B,ACD263,ACD263,PROVISION_20,TK838797,2025-06-28 15:58:59.675632,OVL/OVL_M1M2,OVL,OVL_M1M2,2025-06-28 15:58:59.675632,2025-06-28 16:09:25.675632,20250628_OVL_M1M2_TK838797,626,Yes,Pass,10,244,0.041,/Recipe/OVL/OVL_M1M2.idp,/Recipe/OVL/OVL_M1M2.idw
M11A,ACD263,ACD263,PROVISION_20,DV472528,2025-06-28 05:50:45.675632,ROUGH/ROUGH_SIDEWALL_LER,ROUGH,ROUGH_SIDEWALL_LER,2025-06-28 05:50:45.675632,2025-06-28 06:37:20.675632,20250628_ROUGH_SIDEWALL_LER_DV472528,2795,Yes,Pass,4,175,0.0229,/Recipe/ROUGH/ROUGH_SIDEWALL_LER.idp,/Recipe/ROUGH/ROUGH_SIDEWALL_LER.idw
M16E,HCDX674,HCDX674,CG6340,EN684004,2025-06-23 09:24:33.675632,ROUGH/ROUGH_SIDEWALL_LER,ROUGH,ROUGH_SIDEWALL_LER,2025-06-23 09:24:33.675632,2025-06-23 09:31:44.675632,20250623_ROUGH_SIDEWALL_LER_EN684004,431,Yes,Pass,2,83,0.0241,/Recipe/ROUGH/ROUGH_SIDEWALL_LER.idp,/Recipe/ROUGH/ROUGH_SIDEWALL_LER.idw
M11B,MCD990,MCD990,PROVISION_20,EN623481,2025-07-15 16:17:56.675632,CONTACT/CONTACT_DEPTH,CONTACT,CONTACT_DEPTH,2025-07-15 16:17:56.675632,2025-07-15 17:13:47.675632,20250715_CONTACT_DEPTH_EN623481,3351,Yes,Pass,22,349,0.063,/Recipe/CONTACT/CONTACT_DEPTH.idp,/Recipe/CONTACT/CONTACT_DEPTH.idw
M14B,MCD106,MCD106,VERITYSEM_4,TK245051,2025-07-17 10:04:48.675632,METAL/METAL2_PITCH,METAL,METAL2_PITCH,2025-07-17 10:04:48.675632,2025-07-17 10:20:14.675632,20250717_METAL2_PITCH_TK245051,926,Yes,Pass,23,266,0.0865,/Recipe/METAL/METAL2_PITCH.idp,/Recipe/METAL/METAL2_PITCH.idw
M16B,HCDX674,HCDX674,CG6360,PD654816,2025-06-22 08:53:27.675632,THICK/THICK_POLY,THICK,THICK_POLY,2025-06-22 08:53:27.675632,2025-06-22 09:06:16.675632,20250622_THICK_POLY_PD654816,769,Yes,Pass,21,186,0.1129,/Recipe/THICK/THICK_POLY.idp,/Recipe/THICK/THICK_POLY.idw
M14A,HCDX617,HCDX617,CG6300,PD265840,2025-06-20 08:06:27.675632,VIA/VIA_CD_7nm,VIA,VIA_CD_7nm,2025-06-20 08:06:27.675632,2025-06-20 08:29:25.675632,20250620_VIA_CD_7nm_PD265840,1378,No,Pass,229,309,0.7411,/Recipe/VIA/VIA_CD_7nm.idp,/Recipe/VIA/VIA_CD_7nm.idw
M16E,ACD263,ACD263,PROVISION_10,QA738551,2025-07-08 13:44:30.675632,ROUGH/ROUGH_GATE_LWR,ROUGH,ROUGH_GATE_LWR,2025-07-08 13:44:30.675632,2025-07-08 14:25:42.675632,20250708_ROUGH_GATE_LWR_QA738551,2472,Yes,Pass,0,300,0.0,/Recipe/ROUGH/ROUGH_GATE_LWR.idp,/Recipe/ROUGH/ROUGH_GATE_LWR.idw
M11B,HCDX127,HCDX127,CG6340,WF352572,2025-06-27 00:01:45.675632,OVL/OVL_M1M2,OVL,OVL_M1M2,2025-06-27 00:01:45.675632,2025-06-27 00:58:40.675632,20250627_OVL_M1M2_WF352572,3415,Yes,None,27,387,0.0698,/Recipe/OVL/OVL_M1M2.idp,/Recipe/OVL/OVL_M1M2.idw
