MSR,sequence,chip_number,chip_coordinate,stage_coordinate,dnum_group,mp_number,parameter,cd_value,no_of_mp_image,mp_image_name_01
20250713_CD_GATE_28nm_TK133326,1,"-3, -2","10726981,236559","177563202, 144091349","18, -1",18,CD_MIDDLE,33.31,4,20250713_CD_GATE_28nm_TK133326_001_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,1,"-3, -2","10726981,236559","177563202, 144091349","18, -1",18,CD_BOTTOM,25.09,4,20250713_CD_GATE_28nm_TK133326_001_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,2,"-1, -3","11525383,263904","173558780, 145952975","10, -1",10,CD_MIDDLE,23.39,5,20250713_CD_GATE_28nm_TK133326_002_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,2,"-1, -3","11525383,263904","173558780, 145952975","10, -1",10,CD_BOTTOM,36.04,3,20250713_CD_GATE_28nm_TK133326_002_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,3,"4, 10","10085153,267715","173205394, 141436347","13, -1",13,CD_MIDDLE,29.66,2,20250713_CD_GATE_28nm_TK133326_003_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,3,"4, 10","10085153,267715","173205394, 141436347","13, -1",13,CD_BOTTOM,35.72,4,20250713_CD_GATE_28nm_TK133326_003_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,4,"2, -3","10144646,212196","174936453, 143717770","7, -1",7,CD_MIDDLE,24.19,5,20250713_CD_GATE_28nm_TK133326_004_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,4,"2, -3","10144646,212196","174936453, 143717770","7, -1",7,CD_BOTTOM,26.07,5,20250713_CD_GATE_28nm_TK133326_004_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,5,"4, -3","12883646,255771","179233986, 145549757","14, -1",14,CD_MIDDLE,23.13,3,20250713_CD_GATE_28nm_TK133326_005_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,5,"4, -3","12883646,255771","179233986, 145549757","14, -1",14,CD_BOTTOM,21.92,2,20250713_CD_GATE_28nm_TK133326_005_CD_BOTTOM_20250719_083511.tif
