fac_id,eqp_id,eqp_model_cd,eqp_grp_id,vendor_nm,eqp_ip,fab_name,updt_dt,available,version
R4,ECXDX328,CG6340,G-MCD-03,HITACHI,177.174.190.229,R4A,2025-05-05 08:06:01.283956,On,2
M10,ECXDX617,CG6320,G-PCD-01,HITACHI,177.184.167.180,M10A,2025-05-05 08:06:01.283956,On,2
R3,HCDX532,CG6320,G-KCD-02,HITACHI,177.56.246.196,R3C,2025-05-31 08:06:01.283956,On,2
M11,PCD847,PROVISION_10,G-MDS-03,AMAT,177.250.237.97,M11C,2025-07-03 08:06:01.283956,On,3
R3,ECXDX777,CG6300,G-MCD-02,HITACHI,177.219.60.222,R3C,2025-07-01 08:06:01.283956,On,2
R4,ECDX314,CG6340,G-ACD-02,HITACHI,177.156.163.44,R4C,2025-05-06 08:06:01.283956,On,1
M17,ACD963,TP4500,G-ECD-01,AMAT,177.207.81.103,M17D,2025-06-09 08:06:01.283956,On,3
R5,ECDX758,CG6360,G-MDS-01,HITACHI,197.36.64.191,R5C,2025-05-03 08:06:01.283956,On,3
R3,MCD241,PROVISION_20,G-PCD-02,AMAT,177.194.13.221,R3D,2025-06-29 08:06:01.283956,On,1
R4,ECDX710,CG6360,G-MDS-03,HITACHI,197.249.142.221,R4D,2025-07-12 08:06:01.283956,On,1
R4,ACD545,TP3500,G-MCD-02,AMAT,177.245.185.225,R4C,2025-06-10 08:06:01.284955,Off,1
M18,MCD482,TP4500,G-MCD-03,AMAT,177.154.83.126,M18A,2025-07-11 08:06:01.284955,On,2
M14,HCDX180,CG6320,G-ECD-03,HITACHI,197.209.18.251,M14B,2025-05-06 08:06:01.284955,On,1
R4,HCDX993,CG6340,G-PCD-02,HITACHI,177.238.139.194,R4D,2025-04-16 08:06:01.284955,On,2
M16,PCD353,VERITYSEM_5,G-MCD-01,AMAT,197.6.151.142,M16C,2025-06-14 08:06:01.284955,On,1
M11,ECXDX980,CG6300,G-KCD-01,HITACHI,177.72.172.125,M11A,2025-06-16 08:06:01.284955,On,3
R3,ECDX294,CG6360,G-ECD-01,HITACHI,197.91.109.106,R3D,2025-05-15 08:06:01.284955,On,1
R4,HCDX447,CG6360,G-ECD-01,HITACHI,177.49.138.115,R4A,2025-06-26 08:06:01.284955,On,2
M17,HCDX200,CG6360,G-ECD-03,HITACHI,177.249.24.238,M17B,2025-06-13 08:06:01.284955,On,2
M17,MCD488,TP3000,G-ECD-02,AMAT,197.238.201.201,M17B,2025-05-16 08:06:01.284955,On,3
R5,ECDX322,CG6320,G-ECD-03,HITACHI,177.192.81.15,R5D,2025-07-07 08:06:01.284955,On,3
M18,ECXDX971,CG6380,G-MCD-01,HITACHI,177.173.221.61,M18B,2025-05-23 08:06:01.284955,On,3
M13,HCDX697,CG6360,G-PCD-03,HITACHI,197.240.67.53,M13A,2025-04-19 08:06:01.284955,On,1
M14,ECDX423,CG6340,G-ECD-01,HITACHI,197.160.145.26,M14D,2025-07-04 08:06:01.284955,On,3
M14,MCD478,TP3500,G-KCD-01,AMAT,197.214.140.181,M14B,2025-06-05 08:06:01.284955,On,3
M18,MCD370,TP3500,G-ECD-01,AMAT,177.70.73.155,M18A,2025-06-17 08:06:01.284955,On,1
R4,PCD194,PROVISION_10,G-ACD-02,AMAT,197.12.1.86,R4C,2025-06-27 08:06:01.284955,On,2
M12,PCD177,TP3000,G-ACD-01,AMAT,177.214.95.150,M12D,2025-05-04 08:06:01.284955,On,1
M10,ACD315,TP3000,G-ACD-01,AMAT,177.91.200.144,M10C,2025-05-22 08:06:01.284955,Off,3
M12,ECDX125,CG6320,G-MCD-03,HITACHI,197.201.239.106,M12B,2025-04-19 08:06:01.284955,On,1
M14,ECXDX979,CG6360,G-MDS-01,HITACHI,177.210.236.118,M14B,2025-05-30 08:06:01.284955,On,1
M13,ECDX385,CG6360,G-ECD-02,HITACHI,197.165.131.103,M13A,2025-04-18 08:06:01.284955,Off,3
M15,ECXDX694,CG6340,G-KCD-01,HITACHI,177.153.112.89,M15A,2025-06-03 08:06:01.284955,On,3
M11,ECXDX825,CG6340,G-MDS-01,HITACHI,177.94.111.18,M11D,2025-04-19 08:06:01.284955,Off,3
M15,VCD434,PROVISION_10,G-MDS-03,AMAT,197.142.33.50,M15A,2025-05-21 08:06:01.284955,On,2
R4,PCD411,VERITYSEM_4,G-KCD-01,AMAT,197.202.149.156,R4B,2025-04-21 08:06:01.284955,On,2
M17,PCD390,TP4000,G-PCD-03,AMAT,197.24.210.244,M17B,2025-06-13 08:06:01.284955,On,1
M13,ECXDX586,CG6300,G-PCD-01,HITACHI,197.107.227.162,M13B,2025-05-01 08:06:01.284955,On,3
M16,MCD771,TP4500,G-ACD-01,AMAT,177.200.109.57,M16D,2025-06-21 08:06:01.284955,On,3
M18,ECXDX968,CG6380,G-ECD-02,HITACHI,177.206.119.171,M18D,2025-05-07 08:06:01.284955,Off,3
M15,MCD861,VERITYSEM_5,G-MDS-02,AMAT,197.193.64.216,M15D,2025-04-23 08:06:01.284955,On,3
M17,PCD830,VERITYSEM_5,G-KCD-01,AMAT,197.86.82.229,M17B,2025-05-05 08:06:01.284955,On,1
M13,ECXDX524,CG6320,G-MDS-02,HITACHI,197.107.16.53,M13D,2025-05-21 08:06:01.284955,On,3
R5,PCD460,VERITYSEM_5,G-KCD-02,AMAT,197.138.192.189,R5A,2025-05-05 08:06:01.284955,On,1
M17,VCD129,VERITYSEM_4,G-MDS-02,AMAT,197.186.43.216,M17B,2025-05-15 08:06:01.284955,Off,3
M18,PCD758,TP3000,G-MDS-01,AMAT,197.47.13.67,M18A,2025-05-26 08:06:01.284955,On,2
M15,VCD358,PROVISION_10,G-ECD-02,AMAT,177.192.139.14,M15C,2025-05-30 08:06:01.284955,On,1
R4,ECXDX959,CG6320,G-ECD-03,HITACHI,177.62.33.122,R4A,2025-04-19 08:06:01.284955,On,1
M17,PCD896,TP4000,G-MCD-02,AMAT,177.149.7.238,M17C,2025-06-04 08:06:01.284955,On,2
M16,HCDX950,CG6380,G-ACD-01,HITACHI,177.179.198.78,M16B,2025-04-17 08:06:01.284955,On,1
R3,ACD170,VERITYSEM_4,G-PCD-03,AMAT,197.4.218.108,R3A,2025-05-12 08:06:01.284955,On,2
